res_num_x,res_num_y,res_num
13.personal finance,C119,0.110846653
13.anime,C160,0.110092558
13.collection,C177,0.109426121
13.photography,C13,0.109424693
13.painting or calligraphy,C4,0.109285892
13.starchaaser,C129,0.108571419
13.movie,C5,0.107397703
13.painting or calligraphy,C1,0.106902826
13.personal finance,C160,0.106644086
13.skincare,C1,0.106273749
11.CGPA,C234,0.106198709
11.CGPA,C167,0.105040743
13.online shopping,C129,0.104837218
13.sports,C129,0.104684273
13.travelling,C202,0.104641721
9.status,C217,0.104593228
13.starchaaser,C181,0.104189554
13.game,C234,0.103920918
13.technology,C3,0.103786762
13.online shopping,C167,0.103488003
9.status,C202,0.103091873
13.starchaaser,C167,0.102927014
13.sports,C181,0.102356191
13.starchaaser,C3,0.101542241
13.TV series,C177,0.101194993
13.cooking,C181,0.101121693
3.gender,C223,0.100665218
13.technology,C217,0.10047229
8.living area,C223,0.100438217
13.dancing,C177,0.100256122
13.automobile,C129,0.100179734
13.collection,C223,0.100165882
13.music,C217,0.10005582
13.personal finance,C181,0.100009587
13.cooking,C3,0.099403894
13.anime,C177,0.099228721
2.Frequency,C4,0.098944609
13.automobile,C13,0.098651611
13.keep pets,C202,0.098527744
3.gender,C177,0.098415864
3.gender,C234,0.097718156
13.music,C211,0.097151192
9.status,C155,0.096574407
9.status,C119,0.096338577
13.technology,C13,0.095701052
13.painting or calligraphy,C155,0.095658218
13.technology,C160,0.095355198
11.CGPA,C3,0.094982296
6.weight,C223,0.094463287
13.collection,C211,0.09434943
5.height,C4,0.094117042
13.sports,C202,0.093588362
13.photography,C4,0.093486539
13.automobile,C181,0.093433575
3.gender,C181,0.093199469
9.status,C36,0.092419005
13.DIY,C160,0.091614666
13.keep pets,C177,0.091391073
13.skincare,C155,0.091076838
13.photography,C234,0.090755114
7.qualification,C1,0.090528301
13.personal finance,C129,0.090037827
13.keep pets,C36,0.089899393
3.gender,C167,0.089568364
13.starchaaser,C4,0.089565535
13.music,C155,0.089346187
8.living area,C202,0.088330711
13.painting or calligraphy,C181,0.08806479
13.collection,C36,0.086955173
13.automobile,C177,0.086896769
13.TV series,C23,0.086660372
11.CGPA,C119,0.085668307
3.gender,C211,0.085475265
13.painting or calligraphy,C211,0.08546323
4.age,C167,0.085379407
13.photography,C119,0.085185596
13.technology,C5,0.085151514
12.monthly expenditure,C1,0.08492907
13.painting or calligraphy,C160,0.084597819
2.Frequency,C181,0.084514835
13.cooking,C4,0.084308466
9.status,C167,0.084213238
13.dancing,C4,0.084032064
13.travelling,C181,0.083994627
7.qualification,C181,0.083957081
13.travelling,C1,0.083937374
9.status,C160,0.083909519
13.TV series,C167,0.083797344
13.automobile,C202,0.083540163
13.personal finance,C155,0.083058464
13.movie,C160,0.083011368
13.photography,C129,0.082493364
13.collection,C160,0.082014438
13.collection,C5,0.081730492
11.CGPA,C177,0.081024525
3.gender,C5,0.080669587
4.age,C36,0.080659355
6.weight,C167,0.080571113
13.anime,C129,0.080150921
3.gender,C160,0.079664436
13.music,C119,0.079266534
13.painting or calligraphy,C223,0.07913918
13.online shopping,C3,0.078708064
12.monthly expenditure,C119,0.078664009
13.technology,C234,0.078151697
13.sports,C119,0.077991645
13.online shopping,C4,0.077914079
9.status,C4,0.077665312
3.gender,C13,0.077408012
13.game,C129,0.077114334
13.skincare,C5,0.077092156
9.status,C181,0.076627743
13.automobile,C217,0.07660031
13.travelling,C160,0.075545483
13.photography,C188,0.07494894
13.painting or calligraphy,C202,0.074741028
13.TV series,C129,0.073972976
12.monthly expenditure,C129,0.073485908
5.height,C217,0.073027157
13.skincare,C36,0.072892665
13.movie,C155,0.072663131
6.weight,C217,0.072643894
11.CGPA,C5,0.071748957
2.Frequency,C13,0.071645531
13.painting or calligraphy,C217,0.071172868
5.height,C119,0.071123672
13.starchaaser,C188,0.070654791
13.game,C211,0.070531728
13.travelling,C129,0.070432182
9.status,C211,0.069459802
13.collection,C119,0.06910018
8.living area,C13,0.068043858
13.personal finance,C167,0.067921161
13.DIY,C129,0.067917975
7.qualification,C5,0.067694564
13.personal finance,C223,0.067140105
3.gender,C3,0.067084081
13.technology,C36,0.066842245
13.personal finance,C36,0.066075944
13.music,C4,0.066044016
13.game,C217,0.065906866
7.qualification,C211,0.064361925
5.height,C3,0.064029304
13.collection,C202,0.063969958
13.starchaaser,C155,0.063910504
13.sports,C223,0.063602983
13.sports,C188,0.063596274
13.game,C5,0.063371831
13.automobile,C234,0.063331983
13.painting or calligraphy,C36,0.06321224
13.music,C223,0.06155922
13.collection,C13,0.061386152
13.anime,C234,0.061115394
7.qualification,C129,0.060919516
13.sports,C211,0.060698414
13.music,C177,0.060488809
12.monthly expenditure,C155,0.06047845
13.online shopping,C13,0.059916503
13.anime,C23,0.059889208
13.automobile,C119,0.059468726
12.monthly expenditure,C177,0.059416302
4.age,C188,0.059319529
13.travelling,C3,0.059133839
8.living area,C23,0.058831287
13.automobile,C155,0.058718711
12.monthly expenditure,C36,0.058314039
13.online shopping,C177,0.058279286
2.Frequency,C217,0.057958494
12.monthly expenditure,C188,0.057341754
13.starchaaser,C5,0.05717982
3.gender,C119,0.056748968
12.monthly expenditure,C223,0.056656747
8.living area,C160,0.056602211
13.skincare,C167,0.056567048
13.movie,C119,0.056324692
13.music,C13,0.05569982
3.gender,C129,0.055536868
13.dancing,C223,0.05493925
13.technology,C202,0.054857254
13.painting or calligraphy,C129,0.054737388
13.DIY,C177,0.054592173
13.movie,C211,0.054568348
13.music,C36,0.054459725
13.automobile,C167,0.053815846
13.movie,C223,0.05375035
6.weight,C13,0.053393988
13.technology,C177,0.05314637
12.monthly expenditure,C181,0.05271244
6.weight,C3,0.052109787
13.automobile,C3,0.051618291
13.travelling,C211,0.051531882
13.anime,C5,0.050480857
7.qualification,C119,0.050454481
3.gender,C36,0.050286122
13.cooking,C155,0.050077512
13.cooking,C23,0.049871065
13.movie,C234,0.049849533
13.travelling,C5,0.04956299
7.qualification,C160,0.049398263
13.collection,C23,0.049284119
13.travelling,C36,0.049210457
13.movie,C4,0.049051637
13.starchaaser,C234,0.048982814
9.status,C5,0.048479363
13.painting or calligraphy,C188,0.048381198
11.CGPA,C36,0.047891867
4.age,C13,0.047377493
13.DIY,C211,0.047344016
7.qualification,C177,0.047237661
13.game,C13,0.047237409
3.gender,C202,0.047203795
13.keep pets,C23,0.046962844
13.photography,C167,0.046960087
13.skincare,C211,0.046925188
13.collection,C1,0.046741446
13.starchaaser,C217,0.046686906
13.automobile,C1,0.046622806
9.status,C223,0.046465545
13.movie,C129,0.046425109
5.height,C1,0.04621703
7.qualification,C188,0.04617753
5.height,C202,0.04544078
5.height,C167,0.044596355
12.monthly expenditure,C3,0.044322108
13.personal finance,C4,0.043885713
13.personal finance,C13,0.043792483
13.keep pets,C13,0.043493708
13.online shopping,C5,0.043445551
13.movie,C167,0.04274682
7.qualification,C167,0.042367247
13.technology,C211,0.042359684
13.personal finance,C3,0.042340946
13.cooking,C160,0.042188636
4.age,C23,0.041828069
13.technology,C155,0.041794009
5.height,C23,0.041397864
6.weight,C23,0.041094955
6.weight,C119,0.040974896
13.automobile,C4,0.039831231
2.Frequency,C23,0.038704845
13.starchaaser,C202,0.038689632
13.skincare,C202,0.038630013
13.game,C181,0.038414122
13.game,C160,0.038032272
12.monthly expenditure,C202,0.037939755
7.qualification,C223,0.037404262
13.travelling,C13,0.037342602
13.starchaaser,C177,0.036987504
13.TV series,C13,0.036851017
13.sports,C36,0.036555195
13.cooking,C5,0.036033884
13.keep pets,C217,0.035965972
9.status,C13,0.035957177
11.CGPA,C4,0.035861725
13.cooking,C188,0.035512098
3.gender,C4,0.034804054
13.game,C167,0.034801463
13.game,C119,0.034321798
13.personal finance,C177,0.033824493
9.status,C188,0.033702921
7.qualification,C155,0.033396622
11.CGPA,C1,0.033263059
13.DIY,C3,0.033138857
13.game,C3,0.03301085
9.status,C177,0.032772841
11.CGPA,C155,0.032492544
12.monthly expenditure,C167,0.032401815
13.personal finance,C1,0.031650086
13.photography,C36,0.030863765
13.DIY,C181,0.030615073
13.collection,C167,0.030562787
13.skincare,C217,0.030181501
6.weight,C177,0.029729332
13.personal finance,C234,0.029394171
13.travelling,C119,0.029259176
7.qualification,C217,0.029231595
13.TV series,C223,0.029002229
13.technology,C223,0.028940077
13.dancing,C3,0.028289211
13.keep pets,C234,0.028069662
11.CGPA,C211,0.027527168
13.music,C23,0.027076885
3.gender,C217,0.026691147
13.keep pets,C119,0.026628149
13.keep pets,C167,0.026220956
8.living area,C4,0.025583089
7.qualification,C4,0.025512078
13.photography,C202,0.025392391
13.automobile,C23,0.024917713
13.movie,C23,0.024593645
13.online shopping,C1,0.024467706
13.anime,C13,0.023947767
13.photography,C155,0.023496014
13.music,C202,0.023333471
11.CGPA,C181,0.023091958
13.TV series,C5,0.022434595
13.online shopping,C234,0.022421124
13.automobile,C188,0.022375267
13.starchaaser,C211,0.022276288
13.cooking,C1,0.02212483
13.collection,C217,0.022120315
2.Frequency,C3,0.021705774
13.photography,C217,0.021357789
4.age,C119,0.021275012
3.gender,C23,0.02116328
13.sports,C234,0.020648934
13.travelling,C234,0.020604278
6.weight,C1,0.02034789
13.skincare,C234,0.020029218
13.game,C23,0.019615326
13.movie,C202,0.019543662
13.starchaaser,C160,0.019301196
13.skincare,C181,0.019096844
7.qualification,C234,0.018690438
13.collection,C3,0.01843794
13.automobile,C36,0.018322599
13.skincare,C223,0.017850271
12.monthly expenditure,C234,0.017782341
4.age,C202,0.017446879
7.qualification,C3,0.016830896
11.CGPA,C160,0.016816291
13.dancing,C217,0.016586349
13.DIY,C155,0.016278312
13.personal finance,C188,0.015873778
13.collection,C4,0.015524064
13.skincare,C160,0.015452406
13.starchaaser,C223,0.015071969
13.personal finance,C5,0.015030885
13.sports,C167,0.014958807
13.travelling,C167,0.014401359
13.technology,C129,0.014281279
13.DIY,C119,0.014022069
13.dancing,C23,0.013720109
9.status,C3,0.013503577
13.travelling,C155,0.013330711
13.DIY,C5,0.013269733
13.music,C1,0.013214848
13.cooking,C234,0.012876305
9.status,C234,0.012830541
13.travelling,C223,0.012362074
5.height,C36,0.01182671
13.online shopping,C223,0.011340734
13.collection,C181,0.010722818
13.painting or calligraphy,C177,0.010384393
13.painting or calligraphy,C3,0.010088121
13.photography,C223,0.010040287
13.personal finance,C23,0.009864206
13.game,C36,0.00962363
9.status,C1,0.009447338
13.skincare,C119,0.009061029
13.cooking,C129,0.008776161
13.music,C188,0.008675969
13.painting or calligraphy,C119,0.008634547
13.TV series,C1,0.008588217
12.monthly expenditure,C4,0.008550576
13.travelling,C23,0.008406266
9.status,C23,0.008290387
13.painting or calligraphy,C167,0.00801918
13.game,C202,0.007753345
13.movie,C217,0.007583082
13.sports,C155,0.007259492
12.monthly expenditure,C160,0.007097455
12.monthly expenditure,C211,0.006667495
8.living area,C217,0.006602665
13.skincare,C129,0.006459831
12.monthly expenditure,C217,0.006180763
13.music,C167,0.005995153
8.living area,C5,0.005260986
13.cooking,C13,0.004181768
13.painting or calligraphy,C5,0.004166458
12.monthly expenditure,C5,0.003170539
7.qualification,C36,0.003109906
13.movie,C13,0.003106455
13.DIY,C1,0.002892548
11.CGPA,C129,0.002654728
13.keep pets,C1,0.002439073
13.travelling,C177,0.001969959
11.CGPA,C188,0.001745716
7.qualification,C202,0.001269911
13.painting or calligraphy,C234,0.001067258
13.sports,C177,0.000980287
13.technology,C188,0.000902012
8.living area,C181,0.000431068
